rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Endogenous1_hsa-miR-320e|0_MIMAT0015072,57.7175134834755,-1.2389262989408,0.286943918022842,-4.31766007614831,1.57692037437114e-05,0.00186076604175795
Endogenous1_hsa-miR-223-3p|0_MIMAT0000280,154.188724015914,-1.07228082564134,0.272301605599847,-3.93784246434845,8.22175416536966e-05,0.00336877087922981
Endogenous1_hsa-miR-142-3p|0_MIMAT0000434,36.1272487420189,-0.9919681183158,0.252536174639446,-3.92802385532317,8.56467172685545e-05,0.00336877087922981
Endogenous1_hsa-miR-378h|0_MIMAT0018984,14.0667653450715,0.920913725513923,0.24103691380833,3.8206335741845,0.000133109290689987,NA
Endogenous1_hsa-miR-337-3p|0_MIMAT0000754,22.7457647185785,0.779625466437171,0.238866582269957,3.26385323149167,0.00109908084315353,0.0285749759831227
Endogenous1_hsa-miR-144-3p|0_MIMAT0000436,21.058815236095,-0.871952867569534,0.269427044532885,-3.23632272729439,0.00121080406708147,0.0285749759831227
Endogenous1_hsa-miR-133a-5p|0_MIMAT0026478,16.8922098440998,0.768869566815671,0.245536011714453,3.13139226074027,0.0017397960917911,NA
Endogenous1_hsa-miR-21-5p|0_MIMAT0000076,24.1016151138811,-0.788758200892093,0.253112179830566,-3.1162396113063,0.00183173369377916,0.0360240959776569
Endogenous1_hsa-miR-556-5p|0_MIMAT0003220,17.2258891387773,0.738086652525087,0.242484870876777,3.0438461989662,0.00233574519609488,NA
Endogenous1_hsa-miR-130a-3p|0_MIMAT0000425,13.1953542966148,-0.820024068107143,0.271318539201246,-3.02236651620369,0.00250806670362678,NA
Endogenous1_hsa-miR-378g|0_MIMAT0018937,18.7723851191317,0.676475010410241,0.228139106647327,2.96518654934501,0.00302499434900016,NA
Endogenous1_hsa-miR-378i|0_MIMAT0019074,25.1285454568707,0.682152761090504,0.241519660645381,2.82441917675637,0.00473663928013091,0.0798462050079211
Endogenous1_hsa-miR-3144-3p|0.004_MIMAT0015015,16.1543943745862,-0.807523395848391,0.287725779634407,-2.80657296984113,0.00500715704360811,NA
Endogenous1_hsa-miR-1203|0_MIMAT0005866,15.8223424384843,-0.714523607721587,0.258654163773541,-2.76246706141244,0.00573663497387125,NA
Endogenous1_hsa-miR-450a-1-3p|0_MIMAT0022700,6.82311072081165,0.717884856125447,0.265290365818982,2.7060344008696,0.00680919918532581,NA
Endogenous1_hsa-miR-1246|0.005_MIMAT0005898,116.492298122193,-0.73555624730034,0.272281352436691,-2.70145656585632,0.00690364967692597,0.0893012532011908
Endogenous1_hsa-let-7i-5p|0_MIMAT0000415,21.6924195358555,-0.649032690940282,0.242849270564937,-2.67257418328021,0.00752717295691834,0.0893012532011908
Endogenous1_hsa-miR-217|0_MIMAT0000274,24.9708762414235,-0.637098706783656,0.238545566756894,-2.67076313949248,0.00756790281366023,0.0893012532011908
Endogenous1_hsa-miR-4461|0_MIMAT0018983,13.7456175856077,0.657534958719741,0.247193258642034,2.66000360338278,0.00781398155065207,NA
Endogenous1_hsa-miR-93-5p|0_MIMAT0000093,19.4521718809993,-0.714526765276528,0.269781326544274,-2.64854048435879,0.0080840166161758,NA
Endogenous1_hsa-miR-370-3p|0_MIMAT0000722,15.9344687494316,0.645917319089542,0.24481572244457,2.63838168823404,0.00833027623988616,NA
Endogenous1_hsa-miR-412-3p|0_MIMAT0002170,17.2016539977824,0.604503332767079,0.230954837434351,2.61740927136419,0.00886000384500513,NA
Endogenous1_hsa-miR-23a-3p|0_MIMAT0000078,45.0507670238169,-0.709341896016262,0.276884139736552,-2.56187261824091,0.0104109495121406,0.0960651937507689
Endogenous1_hsa-miR-876-5p|0_MIMAT0004924,12.7647854040718,0.65112315002565,0.255147360111361,2.55194939011504,0.0107122077981813,NA
Endogenous1_hsa-miR-27a-3p|0_MIMAT0000084,14.6931085952212,0.634565869079907,0.248711342829718,2.55141507363566,0.010728646787785,NA
Endogenous1_hsa-miR-548a-5p|0_MIMAT0004803,27.8305002060585,0.656662014791032,0.257629413845227,2.54886274431974,0.0108074826180244,0.0960651937507689
Endogenous1_hsa-miR-324-3p|0_MIMAT0000762,20.7166487184982,0.592220432487772,0.234018265825929,2.530659008166,0.0113848468860639,0.0960651937507689
Endogenous1_hsa-miR-4454+hsa-miR-7975|0_MIMAT0018976,287.00460063417,-0.691683280958443,0.273363717655762,-2.53026731890389,0.0113975653602607,0.0960651937507689
Endogenous1_hsa-miR-1185-2-3p|0_MIMAT0022713,19.8624018455326,0.575356083136043,0.227812915097141,2.52556393868499,0.0115512759623718,NA
Endogenous1_hsa-miR-597-5p|0_MIMAT0003265,19.3518195926731,0.611904210594436,0.243323694979988,2.51477444744854,0.0119108557627196,NA
Endogenous1_hsa-miR-519c-3p|0_MIMAT0002832,18.595239964799,0.574135055712185,0.230340990420107,2.49254400905827,0.012683161176492,NA
Endogenous1_hsa-miR-203a-5p|0_MIMAT0031890,18.3761358209387,0.584060624061225,0.235101870810478,2.48428743696409,0.0129810980916296,NA
Endogenous1_hsa-miR-512-5p|0_MIMAT0002822,16.5583680288345,0.597974590075681,0.242079892635979,2.47015389656864,0.0135054936525709,NA
Endogenous1_hsa-miR-140-5p|0_MIMAT0000431,17.684298400021,-0.589520554008524,0.244152118993923,-2.41456251306669,0.0157541193183908,NA
Endogenous1_hsa-miR-150-5p|0_MIMAT0000451,30.3445793491993,-0.671980978767819,0.280966773958013,-2.39167418019413,0.0167717237579426,0.131937560229149
Endogenous1_hsa-miR-942-5p|0_MIMAT0004985,15.6229588696836,0.607552412350471,0.254324925855466,2.38888268740023,0.0168996976744025,NA
Endogenous1_hsa-miR-106a-5p+hsa-miR-17-5p|0_MIMAT0000103,12.5468608177198,-0.680697565241097,0.285225316542352,-2.38652575967962,0.0170084157688533,NA
Endogenous1_hsa-miR-423-5p|0_MIMAT0004748,26.5710892016642,-0.59623139981389,0.25631878488908,-2.32613228122124,0.0200114949032417,0.147584774911407
Endogenous1_hsa-miR-499a-5p|0_MIMAT0002870,13.4766173414975,0.556314807410265,0.24565009314243,2.26466353134134,0.0235333350277053,NA
